section	offset	size	unit	scope	name	demangled
.text	0x000195B0	0x4DC	em1b/em10.cpp	local	em10_R1_SukiAtk__FP5cEm10	em10_R1_SukiAtk
.text	0x00019A8C	0x3FC	em1b/em10.cpp	local	em10_R1_ScytheAtk__FP5cEm10	em10_R1_ScytheAtk
.text	0x00019E88	0x5A0	em1b/em10.cpp	local	em10_R1_ClawAtk__FP5cEm10	em10_R1_ClawAtk
.text	0x0001A428	0x23C	em1b/em10.cpp	local	em10_R1_br_CSawWalkAtk__FP5cEm10	em10_R1_br_CSawWalkAtk
.text	0x0001A664	0x4B8	em1b/em10.cpp	local	em10_R1_CSawWalkAtk__FP5cEm10	em10_R1_CSawWalkAtk
.text	0x0001AB1C	0x618	em1b/em10.cpp	local	em10_R1_ClawWalkAtk__FP5cEm10	em10_R1_ClawWalkAtk
.text	0x0001B134	0x1C4	em1b/em10.cpp	local	em10_R1_br_ClawCriAtk__FP5cEm10	em10_R1_br_ClawCriAtk
.text	0x0001B2F8	0x8D8	em1b/em10.cpp	local	em10_R1_ClawCriAtk__FP5cEm10	em10_R1_ClawCriAtk
.text	0x0001BBD0	0x1A8	em1b/em10.cpp	local	em10_R1_ClawCriHit__FP5cEm10	em10_R1_ClawCriHit
.text	0x0001BD78	0x190	em1b/em10.cpp	local	plem10_ClawCriHit__FP7cPlayer	plem10_ClawCriHit
.text	0x0001BF08	0x64	em1b/em10.cpp	local	em10_R1_br_C_SawAtk__FP5cEm10	em10_R1_br_C_SawAtk
.text	0x0001BF6C	0x1C0	em1b/em10.cpp	local	em10_R1_C_SawAtk__FP5cEm10	em10_R1_C_SawAtk
.text	0x0001C12C	0x5A0	em1b/em10.cpp	local	em10_R1_C_SawHit__FP5cEm10	em10_R1_C_SawHit
.text	0x0001C6CC	0x3C4	em1b/em10.cpp	local	plem10_C_SawHit__FP7cPlayer	plem10_C_SawHit
.text	0x0001CA90	0x90	em1b/em10.cpp	local	em10_R1_br_C_SawCriAtk__FP5cEm10	em10_R1_br_C_SawCriAtk
.text	0x0001CB20	0x1A0	em1b/em10.cpp	local	em10_R1_C_SawCriAtk__FP5cEm10	em10_R1_C_SawCriAtk
.text	0x0001CCC0	0x340	em1b/em10.cpp	local	em10_R1_C_SawCriHit__FP5cEm10	em10_R1_C_SawCriHit
.text	0x0001D000	0x274	em1b/em10.cpp	local	plem10_C_SawCriHit__FP7cPlayer	plem10_C_SawCriHit
.text	0x0001D274	0x110	em1b/em10.cpp	local	em10_R1_br_Catch__FP5cEm10	em10_R1_br_Catch
.text	0x0001D384	0x3AC	em1b/em10.cpp	local	em10_R1_Catch__FP5cEm10	em10_R1_Catch
.text	0x0001D730	0x948	em1b/em10.cpp	local	em10_R1_NeckHang__FP5cEm10	em10_R1_NeckHang
.text	0x0001E078	0x7D4	em1b/em10.cpp	local	plem10_NeckHang__FP7cPlayer	plem10_NeckHang
.text	0x0001E84C	0x3A8	em1b/em10.cpp	local	em10_R1_NeckHang_Luis__FP5cEm10	em10_R1_NeckHang_Luis
.text	0x0001EBF4	0x254	em1b/em10.cpp	local	subem10_NeckHang_Luis__FP8cSubChar	subem10_NeckHang_Luis
.text	0x0001EE48	0x5B0	em1b/em10.cpp	local	em10_R1_NeckHang_Ashley__FP5cEm10	em10_R1_NeckHang_Ashley
.text	0x0001F3F8	0x3D0	em1b/em10.cpp	local	subem10_NeckHang_Ashley__FP8cSubChar	subem10_NeckHang_Ashley
.text	0x0001F7C8	0x698	em1b/em10.cpp	local	em10_R1_Backhold__FP5cEm10	em10_R1_Backhold
.text	0x0001FE60	0x200	em1b/em10.cpp	local	plem10_Backhold__FP7cPlayer	plem10_Backhold
.text	0x00020060	0x6D4	em1b/em10.cpp	local	em10_R1_Bombhold__FP5cEm10	em10_R1_Bombhold
.text	0x00020734	0x27C	em1b/em10.cpp	local	plem10_Bombhold__FP7cPlayer	plem10_Bombhold
.text	0x000209B0	0xD8	em1b/em10.cpp	local	em10_R1_br_DashCatch__FP5cEm10	em10_R1_br_DashCatch
.text	0x00020A88	0x220	em1b/em10.cpp	local	em10_R1_DashCatch__FP5cEm10	em10_R1_DashCatch
.text	0x00020CA8	0xC84	em1b/em10.cpp	local	em10_R1_TakeAway__FP5cEm10	em10_R1_TakeAway
.text	0x0002192C	0xA14	em1b/em10.cpp	local	subem10_TakeAway__FP8cSubChar	subem10_TakeAway
.text	0x00022340	0x138	em1b/em10.cpp	global	em10CamMoveTakeaway	em10CamMoveTakeaway
.text	0x00022478	0x48	em1b/em10.cpp	local	em10_R0_Damage__FP5cEm10	em10_R0_Damage
.text	0x000224C0	0x107C	em1b/em10.cpp	local	em10_R1_Dm_Small__FP5cEm10	em10_R1_Dm_Small
.text	0x0002353C	0x434	em1b/em10.cpp	local	em10_R1_Dm_Head__FP5cEm10	em10_R1_Dm_Head
.text	0x00023970	0x35C	em1b/em10.cpp	local	em10_R1_Dm_Flash__FP5cEm10	em10_R1_Dm_Flash
.text	0x00023CCC	0x1E8	em1b/em10.cpp	local	em10_R1_Dm_Claw__FP5cEm10	em10_R1_Dm_Claw
.text	0x00023EB4	0x220	em1b/em10.cpp	local	em10_R1_Dm_Claw_Big__FP5cEm10	em10_R1_Dm_Claw_Big
.text	0x000240D4	0x194	em1b/em10.cpp	local	em10_R1_Dm_Gatling__FP5cEm10	em10_R1_Dm_Gatling
.text	0x00024268	0x58C	em1b/em10.cpp	local	em10_R1_Dm_FS__FP5cEm10	em10_R1_Dm_FS
.text	0x000247F4	0x3B4	em1b/em10.cpp	local	em10_R1_Dm_KneeKick__FP5cEm10	em10_R1_Dm_KneeKick
.text	0x00024BA8	0x310	em1b/em10.cpp	local	em10_R1_Dm_NeckBreak__FP5cEm10	em10_R1_Dm_NeckBreak
.text	0x00024EB8	0x5E0	em1b/em10.cpp	local	em10_R1_Dm_Showtay__FP5cEm10	em10_R1_Dm_Showtay
.text	0x00025498	0x250	em1b/em10.cpp	local	em10_R1_Dm_Heel__FP5cEm10	em10_R1_Dm_Heel
.text	0x000256E8	0x180	em1b/em10.cpp	local	em10_R1_Dm_DashUp__FP5cEm10	em10_R1_Dm_DashUp
.text	0x00025868	0x280	em1b/em10.cpp	local	em10_R1_Dm_DashDown__FP5cEm10	em10_R1_Dm_DashDown
.text	0x00025AE8	0xE90	em1b/em10.cpp	local	em10_R1_Dm_Blow__FP5cEm10	em10_R1_Dm_Blow
.text	0x00026978	0x2D0	em1b/em10.cpp	local	em10_R1_Dm_Fence__FP5cEm10	em10_R1_Dm_Fence
.text	0x00026C48	0x618	em1b/em10.cpp	local	em10_R1_Dm_Ladder__FP5cEm10	em10_R1_Dm_Ladder
.text	0x00027260	0xA9C	em1b/em10.cpp	local	em10_R1_Dm_Roof__FP5cEm10	em10_R1_Dm_Roof
.text	0x00027CFC	0x2E0	em1b/em10.cpp	local	em10_R1_Dm_KneeDown__FP5cEm10	em10_R1_Dm_KneeDown
.text	0x00027FDC	0x2CC	em1b/em10.cpp	local	em10_R1_Dm_KnockOut__FP5cEm10	em10_R1_Dm_KnockOut
.text	0x000282A8	0x1B8	em1b/em10.cpp	local	em10_R1_Dm_Down__FP5cEm10	em10_R1_Dm_Down
.text	0x00028460	0x350	em1b/em10.cpp	local	em10_R1_Dm_Frame__FP5cEm10	em10_R1_Dm_Frame
.text	0x000287B0	0x178	em1b/em10.cpp	local	em10_R1_Dm_TakeAway__FP5cEm10	em10_R1_Dm_TakeAway
.text	0x00028928	0x48	em1b/em10.cpp	local	em10_R0_Die__FP5cEm10	em10_R0_Die
.text	0x00028970	0x344	em1b/em10.cpp	local	em10_R1_Die_Cramp__FP5cEm10	em10_R1_Die_Cramp
.text	0x00028CB4	0x418	em1b/em10.cpp	local	em10_R1_Die_Lost__FP5cEm10	em10_R1_Die_Lost
.text	0x000290CC	0x1A4	em1b/em10.cpp	local	em10_R1_Die_Down__FP5cEm10	em10_R1_Die_Down
.text	0x00029270	0x35C	em1b/em10.cpp	local	em10_R1_Die_Normal__FP5cEm10	em10_R1_Die_Normal
.text	0x000295CC	0x1DC	em1b/em10.cpp	local	em10_R1_Die_RunDown__FP5cEm10	em10_R1_Die_RunDown
.text	0x000297A8	0x40C	em1b/em10.cpp	local	em10_R1_Die_Bomb__FP5cEm10	em10_R1_Die_Bomb
.text	0x00029BB4	0x1214	em1b/em10.cpp	global	em10RouteCk__FP5cEm10	em10RouteCk
.text	0x0002ADC8	0xCC	em1b/em10.cpp	global	em10GetGoSub	em10GetGoSub
.text	0x0002AE94	0x1A8	em1b/em10.cpp	global	em10RouteTargetSet	em10RouteTargetSet
.text	0x0002B03C	0x100	em1b/em10.cpp	global	em10GetWanderRouteEmi	em10GetWanderRouteEmi
.text	0x0002B13C	0x78	em1b/em10.cpp	global	em10GetWanderRoute__FP5cEm10	em10GetWanderRoute
.text	0x0002B1B4	0x94	em1b/em10.cpp	global	em10GetWanderRoutePos	em10GetWanderRoutePos
.text	0x0002B248	0x88	em1b/em10.cpp	global	em10WanderRouteUpdate	em10WanderRouteUpdate
.text	0x0002B2D0	0x128	em1b/em10.cpp	global	em10SetWanderRoute	em10SetWanderRoute
.text	0x0002B3F8	0x250	em1b/em10.cpp	global	em10AtkRtnCk__FP5cEm10i	em10AtkRtnCk
.text	0x0002B648	0x370	em1b/em10.cpp	global	em10CatchPLRtnCk	em10CatchPLRtnCk
.text	0x0002B9B8	0x1DC	em1b/em10.cpp	global	em10CatchSubRtnCk	em10CatchSubRtnCk
.text	0x0002BB94	0x348	em1b/em10.cpp	global	em10CatchCk__FP5cEm10	em10CatchCk
