address	size	section	unit	scope	name	demangled
0x80009730	0x2C	.text	game/cam_ctrl.cpp	global	_GLOBAL_.I.g_pToolCamData	global constructors keyed to g_pToolCamData
0x8000975C	0x2C	.text	game/cam_ctrl.cpp	global	_GLOBAL_.D.g_pToolCamData	global destructors keyed to g_pToolCamData
0x80009788	0xA0	.text	game/card.cpp	global	debugInfoDisp	debugInfoDisp
0x80009828	0x34	.text	game/card.cpp	global	__5cCard	cCard::cCard
0x8000985C	0x48	.text	game/card.cpp	global	_._5cCard	cCard::~cCard
0x800098A4	0x38	.text	game/card.cpp	global	CardInit	CardInit
0x800098DC	0x140	.text	game/card.cpp	global	slotSelect__5cCard	cCard::slotSelect
0x80009A1C	0x368	.text	game/card.cpp	global	inSlotCheck__5cCard	cCard::inSlotCheck
0x80009D84	0x90C	.text	game/card.cpp	global	dataSelect__5cCard	cCard::dataSelect
0x8000A690	0x47C	.text	game/card.cpp	global	loadMain__5cCard	cCard::loadMain
0x8000AB0C	0x484	.text	game/card.cpp	global	makeSaveData__5cCard	cCard::makeSaveData
0x8000AF90	0x2B4	.text	game/card.cpp	global	makeSystemSaveData__5cCard	cCard::makeSystemSaveData
0x8000B244	0x734	.text	game/card.cpp	global	saveMain__5cCard	cCard::saveMain
0x8000B978	0x27C	.text	game/card.cpp	global	exit__5cCard	cCard::exit
0x8000BBF4	0x80	.text	game/card.cpp	global	workDestroy__5cCard	cCard::workDestroy
0x8000BC74	0x404	.text	game/card.cpp	global	format__5cCard	cCard::format
0x8000C078	0x308	.text	game/card.cpp	global	fileDelete__5cCard	cCard::fileDelete
0x8000C380	0x854	.text	game/card.cpp	global	errorDisp__5cCard	cCard::errorDisp
0x8000CBD4	0x18	.text	game/card.cpp	global	errorSet__5cCardi	cCard::errorSet
0x8000CBEC	0x37C	.text	game/card.cpp	global	initialize__5cCardi	cCard::initialize
0x8000CF68	0xEC	.text	game/card.cpp	global	initSub__5cCard	cCard::initSub
0x8000D054	0x148	.text	game/card.cpp	global	workAlloc__5cCard	cCard::workAlloc
0x8000D19C	0xCC	.text	game/card.cpp	global	getUseMemSize__5cCard	cCard::getUseMemSize
0x8000D268	0xA8	.text	game/card.cpp	global	fileCreate__5cCardPUciP8CardSlot	cCard::fileCreate
0x8000D310	0xA4	.text	game/card.cpp	global	makeCardStatus__5cCardP8CardSlot	cCard::makeCardStatus
0x8000D3B4	0x214	.text	game/card.cpp	global	firstCheck00__5cCard	cCard::firstCheck00
0x8000D5C8	0x200	.text	game/card.cpp	global	firstCheck10__5cCard	cCard::firstCheck10
0x8000D7C8	0xE4	.text	game/card.cpp	global	firstCheck20__5cCard	cCard::firstCheck20
0x8000D8AC	0xC	.text	game/card.cpp	global	firstCheck30__5cCard	cCard::firstCheck30
0x8000D8B8	0x10	.text	game/card.cpp	global	CardCheckDone	CardCheckDone
0x8000D8C8	0x128	.text	game/card.cpp	global	MainLoop__5cCardi	cCard::MainLoop
0x8000D9F0	0x180	.text	game/card.cpp	global	CardMainTask	CardMainTask
0x8000DB70	0x68	.text	game/card.cpp	global	CardLoad	CardLoad
0x8000DBD8	0xBC	.text	game/card.cpp	global	CardSave	CardSave
0x8000DC94	0x48	.text	game/card.cpp	global	CardSysSave	CardSysSave
0x8000DCDC	0x5C	.text	game/card.cpp	global	CardFirstCheck	CardFirstCheck
0x8000DD38	0xE0	.text	game/card.cpp	global	existCheck__5cCardiP8CardSlot	cCard::existCheck
0x8000DE18	0x144	.text	game/card.cpp	global	mount__5cCardPUcP8CardSlot	cCard::mount
0x8000DF5C	0x88	.text	game/card.cpp	global	unmount__5cCardi	cCard::unmount
0x8000DFE4	0x120	.text	game/card.cpp	global	verifyCheck__5cCardPUcP8CardSlot	cCard::verifyCheck
0x8000E104	0x1F4	.text	game/card.cpp	global	freeCheck__5cCardPUcP8CardSlot	cCard::freeCheck
0x8000E2F8	0xCC	.text	game/card.cpp	global	fileOpen__5cCardP8CardSlot	cCard::fileOpen
0x8000E3C4	0x90	.text	game/card.cpp	global	fileClose__5cCardP8CardSlot	cCard::fileClose
0x8000E454	0x5A4	.text	game/card.cpp	global	saveFileCheck__5cCardPUcP8CardSlot	cCard::saveFileCheck
0x8000E9F8	0x128	.text	game/card.cpp	global	systemFileCheck__5cCardPUcP8CardSlot	cCard::systemFileCheck
0x8000EB20	0xBC	.text	game/card.cpp	global	fileRead__5cCardPUcPvllP8CardSlot	cCard::fileRead
0x8000EBDC	0xA8	.text	game/card.cpp	global	fileWrite__5cCardPUcPviP8CardSlot	cCard::fileWrite
0x8000EC84	0x2A8	.text	game/card.cpp	global	sysfileRead__5cCardPUcT1i	cCard::sysfileRead
0x8000EF2C	0x464	.text	game/card.cpp	global	createSysfile__5cCard	cCard::createSysfile
0x8000F390	0xB0	.text	game/card.cpp	global	screenTrans__5cCard	cCard::screenTrans
0x8000F440	0x68	.text	game/card.cpp	global	cardMesSet__5cCardiiUl	cCard::cardMesSet
0x8000F4A8	0xA0	.text	game/card.cpp	global	calcTplAddr__5cCardP10TEXPalette	cCard::calcTplAddr
0x8000F548	0x54	.text	game/card.cpp	global	setMsgWindow__5cCardii	cCard::setMsgWindow
0x8000F59C	0x54	.text	game/card.cpp	global	CRCInit	CRCInit
0x8000F5F0	0x48	.text	game/card.cpp	global	CRCCalc	CRCCalc
0x8000F638	0x58	.text	game/card.cpp	global	CRCVerify	CRCVerify
0x8000F690	0x90	.text	game/card.cpp	global	CardDbgCacheSet	CardDbgCacheSet
0x8000F720	0xA90	.text	game/card.cpp	global	dispSaveInfo__FiP8SaveInfoii	dispSaveInfo
0x800101B0	0x104	.text	game/card.cpp	global	updateSaveInfo__6CardIDP5cCard	CardID::updateSaveInfo
0x800102B4	0x3EC	.text	game/card.cpp	global	init__6CardIDiP7CardArc	CardID::init
0x800106A0	0x1F8	.text	game/card.cpp	global	move__6CardIDP5cCard	CardID::move
0x80010898	0x130	.text	game/card.cpp	global	wait__6CardIDP5cCard	CardID::wait
0x800109C8	0x50	.text	game/card.cpp	global	start__6CardIDP5cCard	CardID::start
0x80010A18	0xF4	.text	game/card.cpp	global	normal__6CardIDP5cCard	CardID::normal
0x80010B0C	0x2DC	.text	game/card.cpp	global	up_down__6CardIDP5cCard	CardID::up_down
0x80010DE8	0x114	.text	game/card.cpp	global	save__6CardIDP5cCard	CardID::save
0x80010EFC	0x40	.text	game/card.cpp	global	quit__6CardID	CardID::quit
0x80010F3C	0x8	.text	game/card.cpp	global	setAction__6CardIDi	CardID::setAction
0x80010F44	0x94	.text	game/card.cpp	global	setMsgBG	setMsgBG
0x80010FD8	0x48	.text	game/ctrl01.cpp	global	log__t8cManager1Z5cCtrlPCce	cManager<cCtrl>::log
0x80011020	0x30	.text	game/ctrl11.cpp	global	move__7cCtrl11	cCtrl11::move
0x80011050	0xA4	.text	game/ctrl11.cpp	global	GetCtrlCtrl11__Fv	GetCtrlCtrl11
0x800110F4	0x90	.text	game/ctrl11.cpp	global	Ctrl11SetSe__FP5cCtrlP6cModelsUsi	Ctrl11SetSe
0x80011184	0x98	.text	game/ctrl11.cpp	global	Ctrl11SetSe2__FP5cCtrlP6cModelsUsiUs	Ctrl11SetSe2
0x8001121C	0xA0	.text	game/ctrl11.cpp	global	Ctrl11StopAndSetSe__FP5cCtrlP6cModelsUsi	Ctrl11StopAndSetSe
0x800112BC	0x84	.text	game/ctrl11.cpp	global	Ctrl11SetSeEm38__FP5cCtrlP6cModelUs	Ctrl11SetSeEm38
0x80011340	0xBC	.text	game/ctrl11.cpp	global	countActiveWork__t8cManager1Z5cCtrl	cManager<cCtrl>::countActiveWork
0x800113FC	0x170	.text	game/ctrl11.cpp	global	createBack__t8cManager1Z5cCtrli	cManager<cCtrl>::createBack
0x8001156C	0x4	.text	game/ctrl11.cpp	global	beginEvent__5cUnit	cUnit::beginEvent
0x80011570	0x4	.text	game/ctrl11.cpp	global	endEvent__5cUnit	cUnit::endEvent
0x80011574	0x20	.text	game/ctrl11.cpp	global	_._7cCtrl11	cCtrl11::~cCtrl11
0x80011594	0x48	.text	game/ctrl11.cpp	global	_._5cUnit	cUnit::~cUnit
0x800115DC	0x4	.text	game/ctrl11.cpp	global	__dl__5cUnitPvUi	cUnit::operator delete
0x800115E0	0x4C	.text	game/ctrl12.cpp	global	move__7cCtrl12	cCtrl12::move
0x8001162C	0xA4	.text	game/ctrl12.cpp	global	GetCtrlCtrl12__Fv	GetCtrlCtrl12
0x800116D0	0x2C	.text	game/ctrl12.cpp	global	Ctrl12Set__FP5cCtrlis	Ctrl12Set
0x800116FC	0x44	.text	game/ctrl12.cpp	global	Ctrl12Ck__FP5cCtrli	Ctrl12Ck
0x80011740	0x34	.text	game/ctrl12.cpp	global	Ctrl12CntAdd__FP5cCtrlii	Ctrl12CntAdd
0x80011774	0x48	.text	game/ctrl12.cpp	global	Ctrl12CntCk__FP5cCtrliUs	Ctrl12CntCk
0x800117BC	0x98	.text	game/ctrl12.cpp	global	Ctrl12GetTexRenderEm2b__FP5cCtrl	Ctrl12GetTexRenderEm2b
0x80011854	0x5C	.text	game/ctrl12.cpp	global	Ctrl12GetTexRenderEm2c__FP5cCtrl	Ctrl12GetTexRenderEm2c
0x800118B0	0x5C	.text	game/ctrl12.cpp	global	Ctrl12GetTexRenderEm32__FP5cCtrl	Ctrl12GetTexRenderEm32
0x8001190C	0x20	.text	game/ctrl12.cpp	global	_._7cCtrl12	cCtrl12::~cCtrl12
0x8001192C	0x268	.text	game/ctrl14.cpp	global	GetCtrlDragon__FUl	GetCtrlDragon
0x80011B94	0x290	.text	game/ctrl14.cpp	global	move__7cCtrl14	cCtrl14::move
0x80011E24	0x38	.text	game/ctrl14.cpp	global	getBaseMtx__7cCtrl14PA3_fi	cCtrl14::getBaseMtx
0x80011E5C	0x2C	.text	game/ctrl14.cpp	global	getPos__7cCtrl14P3Vec	cCtrl14::getPos
0x80011E88	0x20	.text	game/ctrl14.cpp	global	getDir__7cCtrl14	cCtrl14::getDir
0x80011EA8	0x54	.text	game/ctrl14.cpp	global	getDir2__7cCtrl14	cCtrl14::getDir2
0x80011EFC	0x16C	.text	game/ctrl14.cpp	global	addWidth__7cCtrl14f	cCtrl14::addWidth
0x80012068	0xCC	.text	game/ctrl14.cpp	global	addHeight__7cCtrl14f	cCtrl14::addHeight
0x80012134	0x90	.text	game/ctrl14.cpp	global	addDir__7cCtrl14f	cCtrl14::addDir
0x800121C4	0x60	.text	game/ctrl14.cpp	global	setDir__7cCtrl14f	cCtrl14::setDir
0x80012224	0x70	.text	game/ctrl14.cpp	global	resetDir__7cCtrl14	cCtrl14::resetDir
0x80012294	0xE0	.text	game/ctrl14.cpp	global	setFire__7cCtrl14	cCtrl14::setFire
0x80012374	0xD8	.text	game/ctrl14.cpp	global	ckHitFire__7cCtrl14P3Vec	cCtrl14::ckHitFire
0x8001244C	0x21C	.text	game/ctrl14.cpp	global	ckHitFireBlocked__7cCtrl14	cCtrl14::ckHitFireBlocked
0x80012668	0x20	.text	game/ctrl14.cpp	global	_._7cCtrl14	cCtrl14::~cCtrl14
0x80012688	0x25C	.text	game/emBar.cpp	global	SetBar	SetBar
0x800128E4	0x19C	.text	game/emBar.cpp	global	emBarDmCk	emBarDmCk
0x80012A80	0x134	.text	game/emBar.cpp	global	emBarSetBreak	emBarSetBreak
0x80012BB4	0x58	.text	game/emBar.cpp	global	move__6cEmBar	cEmBar::move
0x80012C0C	0x1C	.text	game/emBar.cpp	global	emBar_R0_Init	emBar_R0_Init
0x80012C28	0x34	.text	game/emBar.cpp	global	emBar_R0_Move	emBar_R0_Move
0x80012C5C	0x11C	.text	game/emBar.cpp	global	emBar_R1_Set	emBar_R1_Set
0x80012D78	0x30	.text	game/emBar.cpp	global	emBarActEscape	emBarActEscape
0x80012DA8	0xB4	.text	game/emBar.cpp	global	plemEscape	plemEscape
0x80012E5C	0x84	.text	game/emBar.cpp	global	emBar_R1_Break	emBar_R1_Break
0x80012EE0	0x64	.text	game/emBar.cpp	global	emBarYarareInit	emBarYarareInit
0x80012F44	0x8	.text	game/emBar.cpp	global	setEff__6cEmBarUc	cEmBar::setEff
0x80012F4C	0x8	.text	game/emBar.cpp	global	setMotion__6cEmBarPv	cEmBar::setMotion
0x80012F54	0x18C	.text	game/emBar.cpp	global	emBarHitCk	emBarHitCk
0x800130E0	0x48	.text	game/emBar.cpp	global	log__t8cManager1Z3cEmPCce	cManager<cEm>::log
0x80013128	0xBC	.text	game/emBar.cpp	global	countActiveWork__t8cManager1Z3cEm	cManager<cEm>::countActiveWork
0x800131E4	0x158	.text	game/emBar.cpp	global	create__t8cManager1Z3cEmi	cManager<cEm>::create
0x8001333C	0x20	.text	game/emBar.cpp	global	_._6cEmBar	cEmBar::~cEmBar
0x8001335C	0x330	.text	game/emwep.cpp	global	SetWeapon	SetWeapon
0x8001368C	0x44	.text	game/emwep.cpp	global	beginEvent__6cEmWepUl	cEmWep::beginEvent
0x800136D0	0x53C	.text	game/emwep.cpp	global	emWepDmCk	emWepDmCk
0x80013C0C	0x1D8	.text	game/emwep.cpp	global	move__6cEmWep	cEmWep::move
0x80013DE4	0x1C	.text	game/emwep.cpp	global	emWep_R0_Init	emWep_R0_Init
0x80013E00	0x38	.text	game/emwep.cpp	global	emWep_R0_Move	emWep_R0_Move
0x80013E38	0x10C	.text	game/emwep.cpp	global	emWep_R1_Set	emWep_R1_Set
0x80013F44	0x174	.text	game/emwep.cpp	global	emWep_R1_LostWait	emWep_R1_LostWait
0x800140B8	0xA4	.text	game/emwep.cpp	global	emWep_R1_Lost	emWep_R1_Lost
0x8001415C	0x68	.text	game/emwep.cpp	local	emWep_R1_Parent	emWep_R1_Parent
0x800141C4	0x8C8	.text	game/emwep.cpp	global	emWep_R1_Fall	emWep_R1_Fall
0x80014A8C	0x48C	.text	game/emwep.cpp	global	emWep_R1_Throw	emWep_R1_Throw
0x80014F18	0x344	.text	game/emwep.cpp	global	emWep_R1_ThrowScythe	emWep_R1_ThrowScythe
0x8001525C	0x7C8	.text	game/emwep.cpp	global	emWep_R1_Shot	emWep_R1_Shot
0x80015A24	0x5E8	.text	game/emwep.cpp	global	emWep_R1_ShotArrow	emWep_R1_ShotArrow
0x8001600C	0x25C	.text	game/emwep.cpp	global	emWep_R1_Rocket	emWep_R1_Rocket
