section	offset	size	unit	scope	name	demangled
.rodata	0x00000C9C	0x4	t_id/t_id.cpp	local	lbl_t_id_rodata_C9C	lbl_t_id_rodata_C9C
.rodata	0x00000CA0	0x8	t_id/t_id.cpp	local	lbl_t_id_rodata_CA0	lbl_t_id_rodata_CA0
.rodata	0x00000CA8	0x8	t_id/t_id.cpp	local	lbl_t_id_rodata_CA8	lbl_t_id_rodata_CA8
.rodata	0x00000CB0	0x4	t_id/t_id.cpp	local	lbl_t_id_rodata_CB0	lbl_t_id_rodata_CB0
.rodata	0x00000CB4	0x4	t_id/t_id.cpp	local	lbl_t_id_rodata_CB4	lbl_t_id_rodata_CB4
.rodata	0x00000CB8	0x8	t_id/t_id.cpp	local	lbl_t_id_rodata_CB8	lbl_t_id_rodata_CB8
.rodata	0x00000CC0	0x10	t_id/t_id.cpp	local	lbl_t_id_rodata_CC0	lbl_t_id_rodata_CC0
.rodata	0x00000CD0	0x10	t_id/t_id.cpp	local	lbl_t_id_rodata_CD0	lbl_t_id_rodata_CD0
.rodata	0x00000CE0	0x8	t_id/t_id.cpp	local	lbl_t_id_rodata_CE0	lbl_t_id_rodata_CE0
.rodata	0x00000CE8	0x8	t_id/t_id.cpp	local	lbl_t_id_rodata_CE8	lbl_t_id_rodata_CE8
.rodata	0x00000CF0	0x28	t_id/t_id.cpp	local	lbl_t_id_rodata_CF0	lbl_t_id_rodata_CF0
.rodata	0x00000D18	0x28	t_id/t_id.cpp	local	lbl_t_id_rodata_D18	lbl_t_id_rodata_D18
.rodata	0x00000D40	0x38	t_id/t_id.cpp	local	lbl_t_id_rodata_D40	lbl_t_id_rodata_D40
.rodata	0x00000D78	0x44	t_id/t_id.cpp	local	lbl_t_id_rodata_D78	lbl_t_id_rodata_D78
.rodata	0x00000DBC	0x4	t_id/t_id.cpp	local	lbl_t_id_rodata_DBC	lbl_t_id_rodata_DBC
.rodata	0x00000DC0	0x30	t_id/t_id.cpp	global	_vt.7ID_DATA	_vt.7ID_DATA
.rodata	0x00000DF0	0x30	t_id/t_id.cpp	global	_vt.6cCoord	_vt.6cCoord
.rodata	0x00000E20	0x28	t_id/t_id.cpp	global	_vt.5cUnit	_vt.5cUnit
.rodata	0x00000EBC	0x28	t_id/t_util.cpp	local	lbl_t_id_rodata_EBC	lbl_t_id_rodata_EBC
.rodata	0x00000EE4	0x28	t_id/t_util.cpp	local	lbl_t_id_rodata_EE4	lbl_t_id_rodata_EE4
.rodata	0x00000F0C	0x38	t_id/t_util.cpp	local	lbl_t_id_rodata_F0C	lbl_t_id_rodata_F0C
.rodata	0x00000F44	0x28	t_id/t_util.cpp	local	lbl_t_id_rodata_F44	lbl_t_id_rodata_F44
.rodata	0x00000F6C	0x1C	t_id/t_util.cpp	local	lbl_t_id_rodata_F6C	lbl_t_id_rodata_F6C
.rodata	0x00000F88	0xC	t_id/tools.cpp	local	lbl_t_id_rodata_F88	lbl_t_id_rodata_F88
